qid,en_label,ja_label,id_label,prefix,cleaned_input,tokiponized,toki_pona_label
Q135464563,Hakusan Shrine,白山社,Kuil Hakusan,Kuil,hakusan,Kakusan,tomo sewi Kakusan
Q135462772,Hakusan Shrine,白山神社,Kuil Hakusan,Kuil,hakusan,Kakusan,tomo sewi Kakusan
Q135464598,Hakusan Shrine,白山社,Kuil Hakusan,Kuil,hakusan,Kakusan,tomo sewi Kakusan
Q135464631,Hakusan Shrine,白山神社,Kuil Hakusan,Kuil,hakusan,Kakusan,tomo sewi Kakusan
Q135464629,Hakusan Shrine,白山社,Kuil Hakusan,Kuil,hakusan,Kakusan,tomo sewi Kakusan
Q135463697,Hakusan Shrine,白山神社,Kuil Hakusan,Kuil,hakusan,Kakusan,tomo sewi Kakusan
Q135464082,Hakusan Shrine,白山神社,Kuil Hakusan,Kuil,hakusan,Kakusan,tomo sewi Kakusan
Q11579599,Hakusan Shrine (Fukui),白山神社 (福井市),Kuil Hakusan (Fukui),Kuil,hakusan,Kakusan,tomo sewi Kakusan
Q134886179,"Hakusan Shrine (Masugata, Kawagoe)",白山神社,"Kuil Hakusan (Masugata, Kawagoe)",Kuil,hakusan,Kakusan,tomo sewi Kakusan
Q117834884,"Hakusan Shrine (Nakagawa-ku, Nagoya)",白山神社 (名古屋市中川区戸田),"Kuil Hakusan (Nakagawa-ku, Nagoya)",Kuil,hakusan,Kakusan,tomo sewi Kakusan
Q111825429,"Hakusan Shrine (Oshikiri 2-chōme, Nagoya)",白山神社,"Kuil Hakusan (Oshikiri 2-chōme, Nagoya)",Kuil,hakusan,Kakusan,tomo sewi Kakusan
Q11579600,Hakusan Shrine (Takashima),白山神社 (高島市宮野),Kuil Hakusan (Takashima),Kuil,hakusan,Kakusan,tomo sewi Kakusan
Q11579594,Hakusan Shrine (Tama),白山神社 (多摩市落合),Kuil Hakusan (Tama),Kuil,hakusan,Kakusan,tomo sewi Kakusan
Q11579588,Hakusan Shrine (ichinomiya),白山神社 (一宮市),Kuil Hakusan (ichinomiya),Kuil,hakusan,Kakusan,tomo sewi Kakusan
Q11579553,Hakusan Chūkyo Shrine,白山中居神社,Kuil Hakusan Chūkyo,Kuil,hakusanchūkyo,Kakusantejukijo,tomo sewi Kakusantejukijo
Q131144290,Hakusan-daijinsha,白山大神社,Kuil Hakusan-daijinsha,Kuil,hakusandaijinsha,Kakusantasinsija,tomo sewi Kakusantasinsija
Q135195113,Hakusan-dō Shrine,白山堂,Kuil Hakusan-dō,Kuil,hakusandō,Kakusanto,tomo sewi Kakusanto
Q57023525,Hakusan-sha,白山社,Kuil Hakusan-sha,Kuil,hakusansha,Kakusansija,tomo sewi Kakusansija
Q113649371,"Hakusan-sha (Shōwa-ku, Nagoya)",白山社,"Kuil Hakusan-sha (Shōwa-ku, Nagoya)",Kuil,hakusansha,Kakusansija,tomo sewi Kakusansija
Q59282631,Hakusangū,白山宮,Kuil Hakusangū,Kuil,hakusangū,Kakusanku,tomo sewi Kakusanku
Q135039112,Hakutahikono Shrine,伯太彦神社,Kuil Hakutahikono,Kuil,hakutahikono,Kakutapikono,tomo sewi Kakutapikono
Q135039113,Hakutahimeno Shrine,伯太姫神社,Kuil Hakutahimeno,Kuil,hakutahimeno,Kakutapimeno,tomo sewi Kakutapimeno
Q246667,Hakuto Shrine,白兎神社,Kuil Hakuto,Kuil,hakuto,Kakuto,tomo sewi Kakuto
Q131675902,Hakuto Shrine,白兎神社,Kuil Hakuto,Kuil,hakuto,Kakuto,tomo sewi Kakuto
Q85881967,Hama Nomiya Tenjin Sha,浜宮天神社,Kuil Hama Nomiya Tenjin Sha,Kuil,hamanomiyatenjinsha,Kamanomijatensinsija,tomo sewi Kamanomijatensinsija
Q11557908,Hama Ōji Shrine,浜王子,Kuil Hama Ōji,Kuil,hamaōji,Kamosi,tomo sewi Kamosi
Q135199653,Hamadono Shrine,濱殿神社,Kuil Hamadono,Kuil,hamadono,Kamatono,tomo sewi Kamatono
Q97341894,Hamakawa Shrine,浜川神社,Kuil Hamakawa,Kuil,hamakawa,Kamakawa,tomo sewi Kamakawa
Q113494547,Hamakita Sansha-inari,浜北三社稲荷,Kuil Hamakita Sansha-inari,Kuil,hamakitasanshainari,Kamakitasansijanali,tomo sewi Kamakitasansijanali
Q11558037,Hamamasu Shrine,浜益神社,Kuil Hamamasu,Kuil,hamamasu,Kamamasu,tomo sewi Kamamasu
Q134955640,Hamamatsu Shrine,浜松神社,Kuil Hamamatsu,Kuil,hamamatsu,Kamamatu,tomo sewi Kamamatu
Q119929629,Hamamatsu Hachimangu,浜松八幡宮,Kuil Hamamatsu Hachimangu,Kuil,hamamatsuhachimangu,Kamamatupasimanku,tomo sewi Kamamatupasimanku
Q119929616,Hamana Sōsha-shinmeigū,濱名惣社神明宮,Kuil Hamana Sōsha-shinmeigū,Kuil,hamanasōshashinmeigū,Kamanasosijasinmeku,tomo sewi Kamanasosijasinmeku
Q11566169,Hamanomiya (Wakayama),濱宮,Kuil Hamanomiya (Wakayama),Kuil,hamanomiya,Kamanomija,tomo sewi Kamanomija
Q11557628,Hamaten Shrine,浜天神社 (掛川市),Kuil Hamaten,Kuil,hamaten,Kamaten,tomo sewi Kamaten
Q135434410,Hamawaki Shrine,濱脇神社,Kuil Hamawaki,Kuil,hamawaki,Kamawaki,tomo sewi Kamawaki
Q10921793,Hamhung Shrine,咸興神社,Kuil Hamhung,Kuil,hamhung,Kapun,tomo sewi Kapun
Q135039845,Hamino Shrine,波弥神社,Kuil Hamino,Kuil,hamino,Kamino,tomo sewi Kamino
Q135040576,Hamino Shrine,波弥神社,Kuil Hamino,Kuil,hamino,Kamino,tomo sewi Kamino
Q11610236,Hamori Shrine,羽森神社,Kuil Hamori,Kuil,hamori,Kamoli,tomo sewi Kamoli
Q135039142,Hamukosono Shrine,波牟許曾神社,Kuil Hamukosono,Kuil,hamukosono,Kamukosono,tomo sewi Kamukosono
Q97176573,Han'ei Inari Shrine,繁栄稲荷神社,Kuil Han'ei Inari,Kuil,han'eiinari,Kanenali,tomo sewi Kanenali
Q11679017,Hanabushi Shrine,鼻節神社,Kuil Hanabushi,Kuil,hanabushi,Kanapusi,tomo sewi Kanapusi
Q135156171,Hanada Shrine,花田神社,Kuil Hanada,Kuil,hanada,Kanata,tomo sewi Kanata
Q123608422,Hanaguruma Shinmei-sha,花車神明社,Kuil Hanaguruma Shinmei-sha,Kuil,hanagurumashinmeisha,Kanakulumasinmesija,tomo sewi Kanakulumasinmesija
Q131378061,Hanai Shinmei Shrine,花井神明神社,Kuil Hanai Shinmei,Kuil,hanaishinmei,Kanasinme,tomo sewi Kanasinme
Q135259651,Hanaishi Shrine,花石神社,Kuil Hanaishi,Kuil,hanaishi,Kanasi,tomo sewi Kanasi
Q135153919,Hanaka Shrine,花香神社,Kuil Hanaka,Kuil,hanaka,Kanaka,tomo sewi Kanaka
Q11679010,Hanakawa Shrine,鼻川神社,Kuil Hanakawa,Kuil,hanakawa,Kanakawa,tomo sewi Kanakawa
Q117360074,Hanamaki Shrine,花巻神社,Kuil Hanamaki,Kuil,hanamaki,Kanamaki,tomo sewi Kanamaki
Q11615716,Hananagakami Shrine,花長上神社,Kuil Hananagakami,Kuil,hananagakami,Kananakakami,tomo sewi Kananakakami
Q11615718,Hananagashimo Shrine,花長下神社,Kuil Hananagashimo,Kuil,hananagashimo,Kananakasimo,tomo sewi Kananakasimo
Q135039899,Hananakano Shrine,花長神社,Kuil Hananakano,Kuil,hananakano,Kananakano,tomo sewi Kananakano
Q135270215,Hananakano Shrine,花長神社,Kuil Hananakano,Kuil,hananakano,Kananakano,tomo sewi Kananakano
Q11615617,Hananoiwaya Shrine,花窟神社,Kuil Hananoiwaya,Kuil,hananoiwaya,Kananowiwaja,tomo sewi Kananowiwaja
Q110064143,Hananoki Inari Shrine,花之木稲荷神社,Kuil Hananoki Inari,Kuil,hananokiinari,Kananokinali,tomo sewi Kananokinali
Q11615264,Hanao Shrine,花尾神社,Kuil Hanao,Kuil,hanao,Kano,tomo sewi Kano
Q22119996,Hanaoka Shrine,花岡神社,Kuil Hanaoka,Kuil,hanaoka,Kanoka,tomo sewi Kanoka
Q135070054,Hanaoka Shrine,花岡神社,Kuil Hanaoka,Kuil,hanaoka,Kanoka,tomo sewi Kanoka
Q65279926,Hanaoka-hachimangu,花岡八幡宮,Kuil Hanaoka-hachimangu,Kuil,hanaokahachimangu,Kanokapasimanku,tomo sewi Kanokapasimanku
Q11620021,Hanashita Tenmangū,華下天満宮,Kuil Hanashita Tenmangū,Kuil,hanashitatenmangū,Kanasitatenmanku,tomo sewi Kanasitatenmanku
Q66085126,Hanashiyama Shrine,羽梨山神社,Kuil Hanashiyama,Kuil,hanashiyama,Kanasijama,tomo sewi Kanasijama
Q135433966,Hanaze Shrine,華瀬神社,Kuil Hanaze,Kuil,hanaze,Kanase,tomo sewi Kanase
Q3126680,Hanazono Shrine,花園神社,Kuil Hanazono,Kuil,hanazono,Kanasono,tomo sewi Kanasono
Q97658183,Hanazono Shrine,花園神社,Kuil Hanazono,Kuil,hanazono,Kanasono,tomo sewi Kanasono
Q11679024,Hanazura Inari Shrine,鼻顔稲荷神社,Kuil Hanazura Inari,Kuil,hanazurainari,Kanasulanali,tomo sewi Kanasulanali
Q18338914,Hanchō Shrine,繁昌神社,Kuil Hanchō,Kuil,hanchō,Kantejo,tomo sewi Kantejo
Q22120059,Handa Inari Shrine,半田稲荷神社,Kuil Handa Inari,Kuil,handainari,Kantanali,tomo sewi Kantanali
Q126123407,Handō Shrine,飯道神社,Kuil Handō,Kuil,handō,Kanto,tomo sewi Kanto
Q97196990,Haneda Shrine,羽田神社,Kuil Haneda,Kuil,haneda,Kaneta,tomo sewi Kaneta
Q109784392,Haneda Kōkū Shrine,羽田航空神社,Kuil Haneda Koku,Kuil,hanedakoku,Kanetakoku,tomo sewi Kanetakoku
Q111024112,Haneo Shrine,羽雄神社,Kuil Haneo,Kuil,haneo,Kanejo,tomo sewi Kanejo
Q133857961,Hangzhou Shrine,杭州神社,Kuil Hangzhou,Kuil,hangzhou,Kanpo,tomo sewi Kanpo
Q11555577,Hanifu Shrine,波爾布神社,Kuil Hanifu,Kuil,hanifu,Kanipu,tomo sewi Kanipu
Q11423723,Hanitsu Shrine,土津神社,Kuil Hanitsu,Kuil,hanitsu,Kanitu,tomo sewi Kanitu
Q107410059,Haniyamahime Shrine,波爾移麻比禰神社,Kuil Haniyamahime,Kuil,haniyamahime,Kanijamapime,tomo sewi Kanijamapime
Q135041316,Haniyamano- Shrine,波尓移麻比弥神社,Kuil Haniyamano-,Kuil,haniyamano,Kanijamano,tomo sewi Kanijamano
Q11573358,Hankei Shrine,班渓神社,Kuil Hankei,Kuil,hankei,Kanke,tomo sewi Kanke
Q133857955,Hankou Shrine,漢口神社,Kuil Hankou,Kuil,hankou,Kanko,tomo sewi Kanko
Q11666663,Hanno Yasaka Shrine,飯能八坂神社,Kuil Hanno Yasaka,Kuil,hannoyasaka,Kannojasaka,tomo sewi Kannojasaka
Q48758315,Hanoura Shrine,羽浦神社,Kuil Hanoura,Kuil,hanoura,Kanola,tomo sewi Kanola
Q11426351,Hanyu gokoku-hachimangū,埴生護国八幡宮,Kuil Hanyu gokoku-hachimangū,Kuil,hanyugokokuhachimangū,Kaniyukokokupasimanku,tomo sewi Kaniyukokokupasimanku
Q11426348,Hanyū Shrine,埴生神社 (中間市),Kuil Hanyū,Kuil,hanyū,Kaniyu,tomo sewi Kaniyu
Q135351778,Hanzaki Ōji Shrine,吐前王子,Kuil Hanzaki Ōji,Kuil,hanzakiōji,Kansakijosi,tomo sewi Kansakijosi
Q119929672,Hara Shrine,原神社,Kuil Hara,Kuil,hara,Kala,tomo sewi Kala
Q106852599,Hara Inari Shrine,原稲荷神社,Kuil Hara Inari,Kuil,harainari,Kalanali,tomo sewi Kalanali
Q130287556,Hara Yaku Shrine,原益救神社,Kuil Hara Yaku,Kuil,harayaku,Kalajaku,tomo sewi Kalajaku
Q11409912,Harada Shrine,原田神社,Kuil Harada,Kuil,harada,Kalata,tomo sewi Kalata
Q111620833,Haragosha Shrine,腹五社神社,Kuil Haragosha,Kuil,haragosha,Kalakosija,tomo sewi Kalakosija
Q135041543,Harahano Shrine,波良波神社,Kuil Harahano,Kuil,harahano,Kalapano,tomo sewi Kalapano
Q107020641,Haraiden of the Main Shrine,厳島神社本社祓殿,Kuil Haraiden of the Main,Kuil,haraidenofthemain,Kalatenopeman,tomo sewi Kalatenopeman
Q134886079,Haraido Shrine,波羅比門神社,Kuil Haraido,Kuil,haraido,Kalato,tomo sewi Kalato
Q135236163,Haraido Shrine,祓戸神社 (霧島市),Kuil Haraido,Kuil,haraido,Kalato,tomo sewi Kalato
Q135352267,Haraido Ōji Shrine (Hongū),祓戸王子,Kuil Haraido Ōji (Hongū),Kuil,haraidoōji,Kalatosi,tomo sewi Kalatosi
Q135351829,Haraido Ōji Shrine (Kainan),祓戸王子,Kuil Haraido Ōji (Kainan),Kuil,haraidoōji,Kalatosi,tomo sewi Kalatosi
Q135425003,Harajuku Shrine,原宿神社,Kuil Harajuku,Kuil,harajuku,Kalasijuku,tomo sewi Kalasijuku
Q134957775,Haraki Shrine,原木神社,Kuil Haraki,Kuil,haraki,Kalaki,tomo sewi Kalaki
Q11447985,Harami Shrine,孕神社,Kuil Harami,Kuil,harami,Kalami,tomo sewi Kalami
Q135039466,Harikumano Shrine,針熊神社,Kuil Harikumano,Kuil,harikumano,Kalikumano,tomo sewi Kalikumano
Q11648156,Harina Shrine,針名神社,Kuil Harina,Kuil,harina,Kalina,tomo sewi Kalina
Q135039554,Harinano Shrine,針名神社,Kuil Harinano,Kuil,harinano,Kalinano,tomo sewi Kalinano
Q135270315,Harinano Shrine,針名神社,Kuil Harinano,Kuil,harinano,Kalinano,tomo sewi Kalinano
Q11648178,Haritsuna Shrine,針綱神社,Kuil Haritsuna,Kuil,haritsuna,Kalituna,tomo sewi Kalituna
Q11555589,Haru Minamikata Shrine,波留南方神社,Kuil Haru Minamikata,Kuil,haruminamikata,Kaluminamikata,tomo sewi Kaluminamikata
Q135040717,Harukino Shrine,春来神社,Kuil Harukino,Kuil,harukino,Kalukino,tomo sewi Kalukino
Q3128007,Haruna Shrine,榛名神社,Kuil Haruna,Kuil,haruna,Kaluna,tomo sewi Kaluna
Q85881569,Haruna Shrine,榛名神社,Kuil Haruna,Kuil,haruna,Kaluna,tomo sewi Kaluna
Q134886068,Haruna Shrine,榛名神社,Kuil Haruna,Kuil,haruna,Kaluna,tomo sewi Kaluna
Q134598507,Haruna Shrine,榛名神社,Kuil Haruna,Kuil,haruna,Kaluna,tomo sewi Kaluna
Q135425053,Haruna Shrine,榛名神社,Kuil Haruna,Kuil,haruna,Kaluna,tomo sewi Kaluna
Q135425190,Haruna Shrine,榛名神社,Kuil Haruna,Kuil,haruna,Kaluna,tomo sewi Kaluna
Q135425657,Haruna Shrine,榛名神社,Kuil Haruna,Kuil,haruna,Kaluna,tomo sewi Kaluna
Q135425440,Haruna Shrine,榛名神社,Kuil Haruna,Kuil,haruna,Kaluna,tomo sewi Kaluna
Q135425470,Haruna Shrine,榛名神社,Kuil Haruna,Kuil,haruna,Kaluna,tomo sewi Kaluna
Q135425483,Haruna Shrine,榛名神社,Kuil Haruna,Kuil,haruna,Kaluna,tomo sewi Kaluna
Q135425341,Haruna Shrine,榛名神社,Kuil Haruna,Kuil,haruna,Kaluna,tomo sewi Kaluna
Q135425350,Haruna Shrine,榛名神社,Kuil Haruna,Kuil,haruna,Kaluna,tomo sewi Kaluna
Q135425819,Haruna Shrine,榛名神社,Kuil Haruna,Kuil,haruna,Kaluna,tomo sewi Kaluna
Q135426097,Haruna Shrine,榛名神社,Kuil Haruna,Kuil,haruna,Kaluna,tomo sewi Kaluna
Q135426203,Haruna Shrine,榛名神社,Kuil Haruna,Kuil,haruna,Kaluna,tomo sewi Kaluna
Q128866571,"Haruna Shrine (Fujimi, Saitama)",榛名神社,"Kuil Haruna (Fujimi, Saitama)",Kuil,haruna,Kaluna,tomo sewi Kaluna
Q131275530,Haruna Shrine (Numata City),榛名神社,Kuil Haruna (Numata),Kuil,haruna,Kaluna,tomo sewi Kaluna
Q135069555,Harunamiya Shrine,榛名宮神社,Kuil Harunamiya,Kuil,harunamiya,Kalunamija,tomo sewi Kalunamija
Q135069558,Harunamiya Shrine,榛名宮神社,Kuil Harunamiya,Kuil,harunamiya,Kalunamija,tomo sewi Kalunamija
Q135069565,Harunamiya Shrine,榛名宮神社,Kuil Harunamiya,Kuil,harunamiya,Kalunamija,tomo sewi Kalunamija
Q134958358,Haruoka Shrine,春岡神社,Kuil Haruoka,Kuil,haruoka,Kaloka,tomo sewi Kaloka
Q135194208,Haruta Shrine (Upper Shrine),治田神社上社（千曲市桑原字宮）,Kuil Haruta (Kamisha),Kuil,haruta,Kaluta,tomo sewi Kaluta
Q135194205,Haruta Shrine (Lower Shrine),治田神社下社（千曲市大字稲荷）,Kuil Haruta (Shimosha),Kuil,haruta,Kaluta,tomo sewi Kaluta
Q135039010,Harutano Shrine,治田神社,Kuil Harutano,Kuil,harutano,Kalutano,tomo sewi Kalutano
Q135433687,Hase Shrine,長谷神社,Kuil Hase,Kuil,hase,Kase,tomo sewi Kase
Q135038992,Hase-Yamaguchi-Niimasu Shrine,長谷山口坐神社,Kuil Hase-Yamaguchi-Niimasu,Kuil,haseyamaguchiniimasu,Kasejamakusinimasu,tomo sewi Kasejamakusinimasu
Q135039453,Haseno Shrine,長谷神社,Kuil Haseno,Kuil,haseno,Kaseno,tomo sewi Kaseno
Q135039431,Haseno Shrine,長谷神社,Kuil Haseno,Kuil,haseno,Kaseno,tomo sewi Kaseno
Q135155243,Hashi Shrine,土師神社,Kuil Hashi,Kuil,hashi,Kasi,tomo sewi Kasi
Q97203272,Hashido Inari Shrine,橋戸稲荷神社,Kuil Hashido Inari,Kuil,hashidoinari,Kasitowinali,tomo sewi Kasitowinali
Q11543776,Hashihime Shrine,橋姫神社,Kuil Hashihime,Kuil,hashihime,Kasipime,tomo sewi Kasipime
Q135039392,Hashino Shrine,土師神社,Kuil Hashino,Kuil,hashino,Kasino,tomo sewi Kasino
Q11636043,Hashiri no Shrine,走り乃神社,Kuil Hashiri no,Kuil,hashirino,Kasilino,tomo sewi Kasilino
Q11636076,Hashirimizu Shrine,走水神社 (横須賀市),Kuil Hashirimizu,Kuil,hashirimizu,Kasilimisu,tomo sewi Kasilimisu
Q11636084,Hashiriochi Shrine,走落神社 (長浜市),Kuil Hashiriochi,Kuil,hashiriochi,Kasilijosi,tomo sewi Kasilijosi
Q135039214,Hashiriochino Shrine,走落神社,Kuil Hashiriochino,Kuil,hashiriochino,Kasilijosino,tomo sewi Kasilijosino
Q135038740,Hashiritano Shrine,走田神社,Kuil Hashiritano,Kuil,hashiritano,Kasilitano,tomo sewi Kasilitano
Q135040496,Hashiritano Shrine,走田神社,Kuil Hashiritano,Kuil,hashiritano,Kasilitano,tomo sewi Kasilitano
Q11636078,Hashiudo Shrine,走水神社,Kuil Hashiudo,Kuil,hashiudo,Kasijuto,tomo sewi Kasijuto
Q135039465,Hasokino Shrine,波蘇伎神社,Kuil Hasokino,Kuil,hasokino,Kasokino,tomo sewi Kasokino
Q21654196,Hassamu Shrine,発寒神社,Kuil Hassamu,Kuil,hassamu,Kasamu,tomo sewi Kasamu
Q134595230,Hasshadaishin Shrine,八社大神,Kuil Hasshadaishin,Kuil,hasshadaishin,Kasijatasin,tomo sewi Kasijatasin
Q11391234,Hassho Shrine,八所神社,Kuil Hassho,Kuil,hassho,Kasijo,tomo sewi Kasijo
Q54153255,Hassho Shrine,八所神社,Kuil Hassho,Kuil,hassho,Kasijo,tomo sewi Kasijo
Q134893115,Hassho Shrine,八所神社,Kuil Hassho,Kuil,hassho,Kasijo,tomo sewi Kasijo
Q135195138,Hassho Shrine,八所神社,Kuil Hassho,Kuil,hassho,Kasijo,tomo sewi Kasijo
Q135187186,Hassho Shrine,八所神社,Kuil Hassho,Kuil,hassho,Kasijo,tomo sewi Kasijo
Q11391231,Hasshogū,八所宮,Kuil Hasshogū,Kuil,hasshogū,Kasijoku,tomo sewi Kasijoku
Q11391232,Hassyosya Kumanosya Gōden,八所社・熊野社合殿,Kuil Hassyosya Kumanosya Gōden,Kuil,hassyosyakumanosyagōden,Kajojakumanojakoten,tomo sewi Kajojakumanojakoten
Q17217815,Hasuge Shrine,八菅神社,Kuil Hasuge,Kuil,hasuge,Kasuke,tomo sewi Kasuke
Q11555459,Hata Shrine,波多神社,Kuil Hata,Kuil,hata,Kata,tomo sewi Kata
Q135190107,Hata Shrine,八多神社,Kuil Hata,Kuil,hata,Kata,tomo sewi Kata
Q135186442,Hata Shrine,波多神社,Kuil Hata,Kuil,hata,Kata,tomo sewi Kata
Q116505726,Hata Shrine (Hannan),波太神社,Kuil Hata (Hannan),Kuil,hata,Kata,tomo sewi Kata
Q135069202,Hatada Shrine,畠田神社,Kuil Hatada,Kuil,hatada,Katata,tomo sewi Katata
Q135039294,Hatada Shrine,畠田神社,Kuil Hatada,Kuil,hatada,Katata,tomo sewi Katata
Q11544511,Hatadono Shrines,機殿神社,Kuil Hatadono,Kuil,hatadono,Katatono,tomo sewi Katatono
Q43594565,Hataeda-hachimangu,幡枝八幡宮,Kuil Hataeda-hachimangu,Kuil,hataedahachimangu,Katawetapasimanku,tomo sewi Katawetapasimanku
Q11504590,Hatagaoka Hachiman Shrine,旗岡八幡神社,Kuil Hatagaoka Hachiman,Kuil,hatagaokahachiman,Katakokapasiman,tomo sewi Katakokapasiman
Q11481867,Hatahisa Shrine,幡日佐神社,Kuil Hatahisa,Kuil,hatahisa,Katapisa,tomo sewi Katapisa
Q11578456,Hatakeyama Shrine,畑山神社,Kuil Hatakeyama,Kuil,hatakeyama,Katakejama,tomo sewi Katakejama
Q111024126,Hataki Shrine,畑木神社,Kuil Hataki,Kuil,hataki,Kataki,tomo sewi Kataki
Q135039231,Hatakino Shrine,波多伎神社,Kuil Hatakino,Kuil,hatakino,Katakino,tomo sewi Katakino
Q135039025,Hatamikawino Shrine,波多甕井神社,Kuil Hatamikawino,Kuil,hatamikawino,Katamikawino,tomo sewi Katamikawino
Q11544512,Hatamono Shrine,機物神社,Kuil Hatamono,Kuil,hatamono,Katamono,tomo sewi Katamono
Q135039925,Hatano Shrine,治田神社,Kuil Hatano,Kuil,hatano,Katano,tomo sewi Katano
Q135039185,Hatano Shrine,波多神社,Kuil Hatano,Kuil,hatano,Katano,tomo sewi Katano
Q135039019,Hatano Shrine,波多神社 (明日香村),Kuil Hatano,Kuil,hatano,Katano,tomo sewi Katano
Q135039193,Hatano Shrine,波太神社,Kuil Hatano,Kuil,hatano,Katano,tomo sewi Katano
Q135039322,Hatano Shrine,波多神社,Kuil Hatano,Kuil,hatano,Katano,tomo sewi Katano
Q68999206,Hataori Shrine,服織神社,Kuil Hataori,Kuil,hataori,Katoli,tomo sewi Katoli
Q135186638,Hataori Shrine,服織神社,Kuil Hataori,Kuil,hataori,Katoli,tomo sewi Katoli
Q135186639,Hataori Shrine,服織神社,Kuil Hataori,Kuil,hataori,Katoli,tomo sewi Katoli
Q135040274,Hatasakano Shrine,幡生神社,Kuil Hatasakano,Kuil,hatasakano,Katasakano,tomo sewi Katasakano
Q135040752,Hatawino Shrine,幡井神社,Kuil Hatawino,Kuil,hatawino,Katawino,tomo sewi Katawino
Q135186493,Hate Shrine,波氐神社,Kuil Hate,Kuil,hate,Kate,tomo sewi Kate
Q135186506,Hate Shrine,波氐神社,Kuil Hate,Kuil,hate,Kate,tomo sewi Kate
Q135039327,Hateno Shrine,波氐神社,Kuil Hateno,Kuil,hateno,Kateno,tomo sewi Kateno
Q18338854,Hatoba Shrine,波止場神社,Kuil Hatoba,Kuil,hatoba,Katopa,tomo sewi Katopa
Q85884759,Hatogamine-hachimangū,鳩ヶ嶺八幡宮,Kuil Hatogamine-hachimangū,Kuil,hatogaminehachimangū,Katokaminepasimanku,tomo sewi Katokaminepasimanku
Q124496764,Hatogaya Hachiman Shrine,鳩谷八幡神社,Kuil Hatogaya Hachiman,Kuil,hatogayahachiman,Katokajapasiman,tomo sewi Katokajapasiman
Q134989206,Hatohachiman Shrine,鳩八幡神社,Kuil Hatohachiman,Kuil,hatohachiman,Katopasiman,tomo sewi Katopasiman
Q135040731,Hatori Shrine,服部神社,Kuil Hatori,Kuil,hatori,Katoli,tomo sewi Katoli
Q135069411,Hatorida Shrine,服織田神社,Kuil Hatorida,Kuil,hatorida,Katolita,tomo sewi Katolita
Q135039603,Hatorino Shrine,服織神社,Kuil Hatorino,Kuil,hatorino,Katolino,tomo sewi Katolino
Q135098838,Hatorino Shrine,服部神社 二座,Kuil Hatorino,Kuil,hatorino,Katolino,tomo sewi Katolino
Q135040266,Hatorino Shrine,服部神社,Kuil Hatorino,Kuil,hatorino,Katolino,tomo sewi Katolino
Q135039355,Hatorino Shrine,服織神社,Kuil Hatorino,Kuil,hatorino,Katolino,tomo sewi Katolino
Q135098916,Hatorinoitomano Shrine,服部伊刀麻神社,Kuil Hatorinoitomano,Kuil,hatorinoitomano,Katolinowitomano,tomo sewi Katolinowitomano
Q135098921,Hatorinomatokata Shrine,服部麻刀方神社 二座,Kuil Hatorinomatokata,Kuil,hatorinomatokata,Katolinomatokata,tomo sewi Katolinomatokata
Q135039624,Hatoritano Shrine,服織田神社,Kuil Hatoritano,Kuil,hatoritano,Katolitano,tomo sewi Katolitano
Q134926458,Hatsuhime Shrine,初姫神社,Kuil Hatsuhime,Kuil,hatsuhime,Katupime,tomo sewi Katupime
Q119929623,Hatsuki Shrine,初木神社,Kuil Hatsuki,Kuil,hatsuki,Katuki,tomo sewi Katuki
Q97280194,Hatsunemori Shrine,初音森神社,Kuil Hatsunemori,Kuil,hatsunemori,Katunemoli,tomo sewi Katunemoli
Q135039562,Hatsuno Shrine,羽豆神社,Kuil Hatsuno,Kuil,hatsuno,Katuno,tomo sewi Katuno
Q128867004,Hatsushima Daijingū,初嶋大神宮,Kuil Hatsushima Daijingū,Kuil,hatsushimadaijingū,Katusimatasinku,tomo sewi Katusimatasinku
Q134989281,Hatsuta Shrine,初田神社,Kuil Hatsuta,Kuil,hatsuta,Katuta,tomo sewi Katuta
Q11396463,Hatsutomi Inari Shrine,初富稲荷神社,Kuil Hatsutomi Inari,Kuil,hatsutomiinari,Katutominali,tomo sewi Katutominali
Q134886863,Hatta Inari Shrine,拂田稲荷神社,Kuil Hatta Inari,Kuil,hattainari,Katanali,tomo sewi Katanali
Q135259636,Hatten Shrine,八天神社,Kuil Hatten,Kuil,hatten,Katen,tomo sewi Katen
Q119929579,Hattengū-sha,八天宮社,Kuil Hattengū-sha,Kuil,hattengūsha,Katenkusija,tomo sewi Katenkusija
Q11516885,Hattori Sumiyoshi Shrine,服部住吉神社,Kuil Hattori Sumiyoshi,Kuil,hattorisumiyoshi,Katolisumijosi,tomo sewi Katolisumijosi
Q11516907,Hattori Tenjin-gū,服部天神宮,Kuil Hattori Tenjin-gū,Kuil,hattoritenjingū,Katolitensinku,tomo sewi Katolitensinku
Q135352061,Haya Ōji Shrine,芳養王子,Kuil Haya Ōji,Kuil,hayaōji,Kajosi,tomo sewi Kajosi
Q22120034,Hayabusa Shrine,隼神社,Kuil Hayabusa,Kuil,hayabusa,Kajapusa,tomo sewi Kajapusa
Q135021848,Hayabusa Shrine,隼神社,Kuil Hayabusa,Kuil,hayabusa,Kajapusa,tomo sewi Kajapusa
Q11639684,Hayahoshi Shrine,速星神社,Kuil Hayahoshi,Kuil,hayahoshi,Kajaposi,tomo sewi Kajaposi
